fri_sam_time,fri_sam_id,fri_sam_x,fri_sam_y
28,1438.0-3521.0,37.44530603057986,70.88354642239304
30,1438.0-3521.0,37.82200043504542,80.05507951397104
32,1438.0-3521.0,38.19869483951098,89.22661260554904
32,7046.0-1094.0,38.27745714090365,70.75427989622355
34,1438.0-3521.0,38.57538924397654,98.39814569712703
34,7046.0-1094.0,39.22289300935633,79.88472725344045
36,1438.0-3521.0,38.9520836484421,107.56967878870503
36,7046.0-1094.0,40.16832887780902,89.01517461065734
36,9249.0-2211.0,40.60786707790108,70.20653095933885
38,1438.0-3521.0,39.32877805290766,116.74121188028303
38,7046.0-1094.0,41.1137647462617,98.14562196787423
38,9249.0-2211.0,43.62030323701453,78.87741017147943
40,1438.0-3521.0,39.70547245737322,125.91274497186103
40,7046.0-1094.0,42.059200614714385,107.27606932509113
40,9249.0-2211.0,46.63273939612798,87.54828938362
40,9093.0-299.0,40.275484186799304,70.3029072252799
42,1438.0-3521.0,40.08216686183878,135.08427806343903
42,7046.0-1094.0,43.00463648316707,116.40651668230802
42,9249.0-2211.0,49.64517555524143,96.21916859576058
42,9093.0-299.0,42.692127808474304,79.1583434951699
44,1438.0-3521.0,40.45886126630434,144.25581115501703
44,7046.0-1094.0,43.95007235161975,125.53696403952492
44,9249.0-2211.0,52.65761171435488,104.89004780790115
44,9093.0-299.0,45.108771430149304,88.01377976505991
46,1438.0-3521.0,40.8355556707699,153.42734424659503
46,7046.0-1094.0,44.895508220072436,134.6674113967418
46,9249.0-2211.0,55.67004787346833,113.56092702004173
46,9093.0-299.0,47.525415051824304,96.86921603494991
48,1438.0-3521.0,41.21225007523546,162.59887733817303
48,7046.0-1094.0,45.84094408852512,143.7978587539587
48,9249.0-2211.0,58.682484032581776,122.23180623218231
48,9093.0-299.0,49.942058673499304,105.72465230483992
50,1438.0-3521.0,41.58894447970102,171.77041042975102
50,7046.0-1094.0,46.786379956977804,152.9283061111756
50,9249.0-2211.0,61.694920191695225,130.90268544432288
50,9093.0-299.0,52.358702295174304,114.58008857472993
52,1438.0-3521.0,41.96563888416658,180.94194352132902
52,7046.0-1094.0,47.73181582543049,162.0587534683925
52,9249.0-2211.0,64.70735635080867,139.57356465646347
52,9093.0-299.0,54.775345916849304,123.43552484461993
52,1843.0-237.0,41.408500651042765,69.93761062271976
54,1438.0-3521.0,42.34233328863214,190.11347661290702
54,7046.0-1094.0,48.67725169388317,171.1892008256094
54,9249.0-2211.0,67.71979250992212,148.24444386860407
54,9093.0-299.0,57.191989538524304,132.29096111450994
54,1843.0-237.0,44.16793179795122,78.69229266547478
56,1438.0-3521.0,42.7190276930977,199.28500970448502
56,7046.0-1094.0,49.622687562335855,180.31964818282628
56,9249.0-2211.0,70.73222866903556,156.91532308074466
56,9093.0-299.0,59.608633160199304,141.14639738439993
56,1843.0-237.0,46.927362944859674,87.4469747082298
58,1438.0-3521.0,43.09572209756326,208.45654279606302
58,7046.0-1094.0,50.56812343078854,189.45009554004318
58,9249.0-2211.0,73.74466482814901,165.58620229288525
58,9093.0-299.0,62.025276781874304,150.00183365428992
58,1843.0-237.0,49.68679409176813,96.20165675098482
60,1438.0-3521.0,43.47241650202882,217.62807588764102
60,7046.0-1094.0,51.51355929924122,198.58054289726007
60,9249.0-2211.0,76.75710098726246,174.25708150502584
60,9093.0-299.0,64.4419204035493,158.85726992417992
60,1843.0-237.0,52.44622523867658,104.95633879373985
62,1438.0-3521.0,43.84911090649438,226.79960897921902
62,7046.0-1094.0,52.45899516769391,207.71099025447697
62,9249.0-2211.0,79.76953714637591,182.92796071716643
62,9093.0-299.0,66.8585640252243,167.7127061940699
62,1843.0-237.0,55.20565638558503,113.71102083649487
64,1438.0-3521.0,44.22580531095994,235.97114207079701
64,7046.0-1094.0,53.40443103614659,216.84143761169386
64,9249.0-2211.0,82.78197330548936,191.59883992930702
64,9093.0-299.0,69.27520764689929,176.5681424639599
64,1843.0-237.0,57.965087532493484,122.4657028792499
64,6749.0-2973.0,41.12819891831459,69.94094310983176
66,1438.0-3521.0,44.60249971542551,245.142675162375
66,7046.0-1094.0,54.349866904599274,225.97188496891076
66,9249.0-2211.0,85.79440946460281,200.2697191414476
66,9093.0-299.0,71.69185126857428,185.4235787338499
66,1843.0-237.0,60.72451867940194,131.22038492200494
66,6749.0-2973.0,42.81709939348486,78.96350001512394
68,1438.0-3521.0,44.979194119891076,254.314208253953
68,7046.0-1094.0,55.29530277305196,235.10233232612765
68,9249.0-2211.0,88.80684562371626,208.9405983535882
68,9093.0-299.0,74.10849489024928,194.2790150037399
68,1843.0-237.0,63.48394982631039,139.97506696475998
68,6749.0-2973.0,44.50599986865513,87.98605692041612
68,5333.0-217.0,42.05673118142282,69.70249334803123
70,1438.0-3521.0,45.35588852435664,263.485741345531
70,7046.0-1094.0,56.24073864150464,244.23277968334455
70,9249.0-2211.0,91.8192817828297,217.6114775657288
70,9093.0-299.0,76.52513851192427,203.13445127362988
70,1843.0-237.0,66.24338097321885,148.729749007515
70,6749.0-2973.0,46.1949003438254,97.0086138257083
70,5333.0-217.0,44.410754273364645,78.57478128333125
72,1438.0-3521.0,45.7325829288222,272.657274437109
72,7046.0-1094.0,57.186174509957326,253.36322704056144
72,9249.0-2211.0,94.83171794194315,226.28235677786938
72,9093.0-299.0,78.94178213359926,211.98988754351987
72,1843.0-237.0,69.0028121201273,157.48443105027005
72,6749.0-2973.0,47.883800818995674,106.03117073100047
72,5333.0-217.0,46.76477736530648,87.44706921863127
72,5614.0-1648.0,42.356765927698376,69.60451406503068
74,1438.0-3521.0,46.109277333287764,281.828807528687
74,7046.0-1094.0,58.13161037841001,262.49367439777836
74,9249.0-2211.0,97.8441541010566,234.95323599000997
74,9093.0-299.0,81.35842575527425,220.84532381340986
74,1843.0-237.0,71.76224326703576,166.23911309302508
74,6749.0-2973.0,49.572701294165945,115.05372763629265
74,5333.0-217.0,49.11880045724831,96.31935715393129
74,5614.0-1648.0,44.7474141195791,78.46700350913855
76,1438.0-3521.0,46.48597173775333,291.000340620265
76,7046.0-1094.0,59.07704624686269,271.62412175499526
76,9249.0-2211.0,100.85659026017005,243.62411520215056
76,9093.0-299.0,83.77506937694925,229.70076008329985
76,1843.0-237.0,74.52167441394421,174.99379513578012
76,6749.0-2973.0,51.26160176933622,124.07628454158483
76,5333.0-217.0,51.47282354919014,105.19164508923132
76,5614.0-1648.0,47.13806231145982,87.32949295324642
76,5030.0-559.0,41.98801537157898,69.66309673461748
78,1438.0-3521.0,46.86266614221889,300.171873711843
78,7046.0-1094.0,60.02248211531538,280.75456911221215
78,9249.0-2211.0,103.8690264192835,252.29499441429115
78,9093.0-299.0,86.19171299862424,238.55619635318985
78,1843.0-237.0,77.28110556085267,183.74847717853515
78,6749.0-2973.0,52.95050224450649,133.098841446877
78,5333.0-217.0,53.826846641131965,114.06393302453134
78,5614.0-1648.0,49.52871050334054,96.19198239735428
78,5030.0-559.0,43.74650336100364,78.67234964012053
80,1438.0-3521.0,47.23936054668446,309.343406803421
80,7046.0-1094.0,60.96791798376806,289.88501646942905
80,9249.0-2211.0,106.88146257839695,260.96587362643174
80,9093.0-299.0,88.60835662029923,247.41163262307984
80,1843.0-237.0,80.04053670776112,192.5031592212902
80,6749.0-2973.0,54.63940271967676,142.12139835216917
80,5333.0-217.0,56.18086973307379,122.93622095983136
80,5614.0-1648.0,51.91935869522126,105.05447184146215
80,5030.0-559.0,45.5049913504283,87.68160254562358
80,6072.0-2830.0,42.90446654941526,69.42249335599098
82,1438.0-3521.0,47.61605495115002,318.514939894999
82,7046.0-1094.0,61.913353852220744,299.01546382664594
82,9249.0-2211.0,109.8938987375104,269.6367528385723
