fri_ship_time,fri_ship_id,fri_ship_x,fri_ship_y
0,1,35.35644892492595,62.285188477569534
2,1,35.488153748094284,62.24109808166534
4,1,35.61985857126262,62.19700768576115
6,1,35.75156339443095,62.15291728985696
8,1,35.88326821759929,62.10882689395277
10,1,36.01497304076762,62.064736498048575
12,1,36.146677863935956,62.02064610214438
14,1,36.27838268710429,61.97655570624019
16,1,36.410087510272625,61.932465310336
18,1,36.54179233344096,61.88837491443181
20,1,36.673497156609294,61.844284518527616
22,1,36.80520197977763,61.800194122623424
24,1,36.93690680294596,61.75610372671923
26,1,37.0686116261143,61.71201333081504
28,1,37.20031644928263,61.66792293491085
30,1,37.332021272450966,61.623832539006656
32,1,37.4637260956193,61.579742143102465
34,1,37.595430918787635,61.53565174719827
36,1,37.72713574195597,61.49156135129408
38,1,37.858840565124304,61.44747095538989
40,1,37.99054538829264,61.4033805594857
42,1,38.12225021146097,61.359290163581505
44,1,38.25395503462931,61.31519976767731
46,1,38.38565985779764,61.27110937177312
48,1,38.517364680965976,61.22701897586893
50,1,38.64906950413431,61.18292857996474
52,1,38.780774327302645,61.138838184060546
54,1,38.91247915047098,61.094747788156354
56,1,39.04418397363931,61.05065739225216
58,1,39.17588879680765,61.00656699634797
60,1,39.30759361997598,60.96247660044378
62,1,39.43929844314432,60.91838620453959
64,1,39.57100326631265,60.874295808635395
66,1,39.702708089480986,60.8302054127312
68,1,39.83441291264932,60.78611501682701
70,1,39.966117735817654,60.74202462092282
72,1,40.09782255898599,60.69793422501863
74,1,40.22952738215432,60.653843829114436
76,1,40.36123220532266,60.609753433210244
78,1,40.49293702849099,60.56566303730605
80,1,40.62464185165933,60.52157264140186
82,1,40.75634667482766,60.47748224549767
84,1,40.888051497995995,60.43339184959348
86,1,41.01975632116433,60.389301453689285
88,1,41.151461144332664,60.34521105778509
90,1,41.283165967501,60.3011206618809
92,1,41.41487079066933,60.25703026597671
94,1,41.54657561383767,60.21293987007252
96,1,41.678280437006,60.168849474168326
98,1,41.80998526017434,60.124759078264134
100,1,41.94169008334267,60.08066868235994
102,1,42.073394906511005,60.03657828645575
104,1,42.20509972967934,59.99248789055156
106,1,42.336804552847674,59.94839749464737
108,1,42.46850937601601,59.904307098743175
110,1,42.60021419918434,59.86021670283898
112,1,42.73191902235268,59.81612630693479
114,1,42.86362384552101,59.7720359110306
116,1,42.995328668689346,59.72794551512641
118,1,43.12703349185768,59.683855119222216
120,1,43.258738315026015,59.639764723318024
122,1,43.39044313819435,59.59567432741383
124,1,43.522147961362684,59.55158393150964
126,1,43.65385278453102,59.50749353560545
128,1,43.78555760769935,59.463403139701256
130,1,43.91726243086769,59.419312743797065
132,1,44.04896725403602,59.37522234789287
134,1,44.180672077204356,59.33113195198868
136,1,44.31237690037269,59.28704155608449
138,1,44.444081723541025,59.2429511601803
140,1,44.57578654670936,59.198860764276105
142,1,44.707491369877694,59.15477036837191
144,1,44.83919619304603,59.11067997246772
146,1,44.97090101621436,59.06658957656353
148,1,45.1026058393827,59.02249918065934
150,1,45.23431066255103,58.978408784755146
152,1,45.366015485719366,58.934318388850954
154,1,45.4977203088877,58.89022799294676
156,1,45.629425132056035,58.84613759704257
158,1,45.76112995522437,58.80204720113838
160,1,45.892834778392704,58.75795680523419
162,1,46.02453960156104,58.713866409329995
164,1,46.15624442472937,58.6697760134258
166,1,46.28794924789771,58.62568561752161
168,1,46.41965407106604,58.58159522161742
170,1,46.551358894234376,58.53750482571323
172,1,46.68306371740271,58.493414429809036
174,1,46.814768540571045,58.449324033904844
176,1,46.94647336373938,58.40523363800065
178,1,47.078178186907714,58.36114324209646
180,1,47.20988301007605,58.31705284619227
182,1,47.34158783324438,58.27296245028808
184,1,47.47329265641272,58.228872054383885
186,1,47.60499747958105,58.18478165847969
188,1,47.736702302749386,58.1406912625755
190,1,47.86840712591772,58.09660086667131
192,1,48.000111949086055,58.05251047076712
194,1,48.13181677225439,58.008420074862926
196,1,48.26352159542272,57.964329678958734
198,1,48.39522641859106,57.92023928305454
200,1,48.52693124175939,57.87614888715035
202,1,48.65863606492773,57.83205849124616
204,1,48.79034088809606,57.78796809534197
206,1,48.922045711264396,57.743877699437775
208,1,49.05375053443273,57.69978730353358
210,1,49.185455357601064,57.65569690762939
212,1,49.3171601807694,57.6116065117252
214,1,49.44886500393773,57.56751611582101
216,1,49.58056982710607,57.523425719916816
218,1,49.7122746502744,57.479335324012624
220,1,49.84397947344274,57.43524492810843
222,1,49.97568429661107,57.39115453220424
224,1,50.107389119779405,57.34706413630005
226,1,50.23909394294774,57.302973740395856
228,1,50.370798766116074,57.258883344491665
230,1,50.50250358928441,57.21479294858747
232,1,50.63420841245274,57.17070255268328
234,1,50.76591323562108,57.12661215677909
236,1,50.89761805878941,57.0825217608749
238,1,51.02932288195775,57.038431364970705
240,1,51.16102770512608,56.99434096906651
242,1,51.292732528294415,56.95025057316232
244,1,51.42443735146275,56.90616017725813
246,1,51.556142174631084,56.86206978135394
248,1,51.68784699779942,56.817979385449746
250,1,51.81955182096775,56.773888989545554
252,1,51.95125664413609,56.72979859364136
254,1,52.08296146730442,56.68570819773717
256,1,52.214666290472756,56.64161780183298
258,1,52.34637111364109,56.59752740592879
260,1,52.478075936809425,56.553437010024595
262,1,52.60978075997776,56.5093466141204
264,1,52.741485583146094,56.46525621821621
266,1,52.87319040631443,56.42116582231202
268,1,53.00489522948276,56.37707542640783
270,1,53.1366000526511,56.332985030503636
272,1,53.26830487581943,56.288894634599444
274,1,53.400009698987766,56.24480423869525
276,1,53.5317145221561,56.20071384279106
278,1,53.663419345324435,56.15662344688687
280,1,53.79512416849277,56.11253305098268
282,1,53.926828991661104,56.068442655078485
284,1,54.05853381482944,56.02435225917429
286,1,54.19023863799777,55.9802618632701
288,1,54.32194346116611,55.93617146736591
290,1,54.45364828433444,55.89208107146172
292,1,54.585353107502776,55.847990675557526
294,1,54.71705793067111,55.803900279653334
296,1,54.848762753839445,55.75980988374914
